,boat_id,boat_type,year,Boat_Make,model,model_type,length_overall,yield_length,beam,draft,height,hull,engine,hp,weight,fuel_type,boat_image,active,Country
0,4311,Power,2007,Albin Marine,CAPE COD 26,INBD,26,,8.5,,,FG,1,315.0,5000,Diesel,,,Sweden
1,4312,Power,2007,Albin Marine,TOURNAMENT EXPRESS 26,STERN,26,,8.5,,,FG,1,210.0,6000,Diesel,,,Sweden
2,4313,Power,2007,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,315.0,7500,Diesel,,,Sweden
3,4314,Power,2007,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,,Sweden
4,4315,Power,2007,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,500.0,14000,Diesel,,,Sweden
5,4316,Power,2007,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,,Sweden
6,4317,Power,2007,Albin Marine,COMMAND BRIDGE 35,INBD,37,,12.33333333,,,FG,1,370.0,18000,Diesel,,,Sweden
7,4318,Power,2007,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
8,4319,Power,2007,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,500.0,18000,Diesel,,,Sweden
9,4320,Power,2007,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,500.0,18000,Diesel,,,Sweden
10,4321,Power,2007,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
11,4322,Power,2007,Albin Marine,NORTH SEA CUTTER 40,INBD,40,,13.0,,,FG,2,315.0,25000,Diesel,,,Sweden
12,4323,Power,2006,Albin Marine,CAPE COD 26,INBD,26,,8.5,,,FG,1,315.0,5000,Diesel,,,Sweden
13,4324,Power,2006,Albin Marine,TOURNAMENT EXPRESS 26,STERN,26,,8.5,,,FG,1,210.0,5900,Diesel,,,Sweden
14,4325,Power,2006,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,315.0,7500,Diesel,,,Sweden
15,4326,Power,2006,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,315.0,7500,Diesel,,,Sweden
16,4327,Power,2006,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,,Sweden
17,4328,Power,2006,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,500.0,14000,Diesel,,,Sweden
18,4329,Power,2006,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,,Sweden
19,4330,Power,2006,Albin Marine,COMMAND BRIDGE 35,INBD,37,,12.33333333,,,FG,1,370.0,18000,Diesel,,,Sweden
20,4331,Power,2006,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
21,4332,Power,2006,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,500.0,18000,Diesel,,,Sweden
22,4333,Power,2006,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,500.0,18000,Diesel,,,Sweden
23,4334,Power,2006,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
24,4335,Power,2006,Albin Marine,NORTH SEA CUTTER 40,INBD,40,,13.0,,,FG,2,315.0,25000,Diesel,,,Sweden
25,4336,Power,2005,Albin Marine,TOURNAMENT EXPRESS 26,STERN,26,,8.5,,,FG,1,160.0,5900,Diesel,,,Sweden
26,4337,Power,2005,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,370.0,7500,Diesel,,,Sweden
27,4338,Power,2005,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,370.0,7500,Diesel,,,Sweden
28,4339,Power,2005,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,,Sweden
29,4340,Power,2005,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,,Sweden
30,4341,Power,2005,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,,Sweden
31,4342,Power,2005,Albin Marine,COMMAND BRIDGE 35,INBD,37,,12.33333333,,,FG,1,370.0,18000,Diesel,,,Sweden
32,4343,Power,2005,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
33,4344,Power,2005,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
34,4345,Power,2005,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
35,4346,Power,2005,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
36,4347,Power,2005,Albin Marine,NORTH SEA CUTTER 40,INBD,40,,13.0,,,FG,2,310.0,25000,Diesel,,,Sweden
37,4348,Power,2005,Albin Marine,COMMAND BRIDGE 45,INBD,48,,16.0,,,FG,2,480.0,36000,Diesel,,,Sweden
38,4349,Power,2004,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
39,4350,Power,2004,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
40,4351,Power,2004,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
41,4352,Power,2004,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
42,4353,Power,2004,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,,Sweden
43,4354,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,,Sweden
44,4355,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,,Sweden
45,4356,Power,2004,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,,Sweden
46,4357,Power,2004,Albin Marine,COMMAND BRIDGE 35,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,,Sweden
47,4358,Power,2004,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,,Sweden
48,4359,Power,2004,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,330.0,20000,Diesel,,,Sweden
49,4360,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
50,4361,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
51,4362,Power,2004,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,,Sweden
52,4363,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
53,4364,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,,Sweden
54,4365,Power,2004,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
55,4366,Power,2004,Albin Marine,COMMAND BRIDGE 45,INBD,48,,16.0,,,FG,2,480.0,36000,Diesel,,,Sweden
56,4367,Power,2003,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
57,4368,Power,2003,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
58,4369,Power,2003,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
59,4370,Power,2003,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
60,4371,Power,2003,Albin Marine,FAMILY CRUISER 30,INBD,31,,10.0,,,FG,1,315.0,9800,Diesel,,,Sweden
61,4372,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,1,450.0,14000,Diesel,,,Sweden
62,4373,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,370.0,14000,Diesel,,,Sweden
63,4374,Power,2003,Albin Marine,TOURNAMENT EXPRESS 31,INBD,33,,12.33333333,,,FG,2,380.0,14000,Gasoline,,,Sweden
64,4375,Power,2003,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,,Sweden
65,4376,Power,2003,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,450.0,20000,Diesel,,,Sweden
66,4377,Power,2003,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,330.0,20000,Diesel,,,Sweden
67,4378,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,,Sweden
68,4379,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
69,4380,Power,2003,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
70,4381,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,450.0,18000,Diesel,,,Sweden
71,4382,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,370.0,18000,Diesel,,,Sweden
72,4383,Power,2003,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,,Sweden
73,4384,Power,2003,Albin Marine,COMMAND BRIDGE 45,INBD,48,,16.0,,,FG,2,480.0,36000,Diesel,,,Sweden
74,4385,Power,2002,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
75,4386,Power,2002,Albin Marine,GATSBY EDITION 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
76,4387,Power,2002,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,380.0,7500,Gasoline,,,Sweden
77,4388,Power,2002,Albin Marine,TOURNAMENT EXPRESS 28,INBD,30,,10.0,,,FG,1,330.0,7500,Diesel,,,Sweden
78,4389,Power,2002,Albin Marine,TOURNAMENT EXPRESS 31,INBD,30,,12.33333333,,,FG,2,380.0,14000,Gasoline,,,Sweden
